bloque,fecha,e_wh,area_m2,KPI01_kwh_m2
9,2026-02-24,1860417.5466666613,7579.5,0.2454538619521949
9,2026-02-25,1834408.7500000075,7579.5,0.24202239593640842
9,2026-02-26,2029004.7499999963,7579.5,0.2676963849858165
9,2026-02-27,1974068.4899999946,7579.5,0.26044837918068403
9,2026-02-28,1596914.7199999988,7579.5,0.21068866284055662
9,2026-03-01,1066082.473333329,7579.5,0.14065340369857235
9,2026-03-02,1956469.381578926,7579.5,0.2581264439051291
9,2026-03-03,1956849.6702444814,7579.5,0.2581766172233632
9,2026-03-04,1849174.6510207057,7579.5,0.24397053249168224
9,2026-03-05,1834024.7395859845,7579.5,0.2419717315899445
9,2026-03-06,1716721.199256163,7579.5,0.2264953096188618
9,2026-03-07,1350681.2259179875,7579.5,0.17820189008747114
9,2026-03-08,632207.7429909967,7579.5,0.08341021742740243
9,2026-03-09,1684614.800837133,7579.5,0.22225935758785317
9,2026-03-10,1934237.08344388,7579.5,0.25519322955918994
9,2026-03-11,100639518.3288225,7579.5,13.277857157968533
9,2026-03-12,1488266.5067584424,7579.5,0.19635417992723034
10,2026-02-10,305118.6400000006,11469.06,0.026603630986323255
10,2026-02-11,454082.893333327,11469.06,0.0395919886488803
10,2026-02-12,443923.9033333324,11469.06,0.03870621509812769
10,2026-02-13,293299.83999999985,11469.06,0.025573136769709102
10,2026-02-14,149914.13666666672,11469.06,0.013071179038793651
10,2026-02-15,85222.84521739185,11469.06,0.007430673936433488
10,2026-02-16,299635.6400000006,11469.06,0.02612556216464127
10,2026-02-17,287473.6799999997,11469.06,0.025065147448875474
10,2026-02-18,301225.4420289807,11469.06,0.026264178758240057
10,2026-02-19,380697.04000000283,11469.06,0.033193395099511455
10,2026-02-20,331533.83999999985,11469.06,0.02890680142923656
10,2026-02-21,368912.16666667163,11469.06,0.03216585898640967
10,2026-02-22,293419.6866666712,11469.06,0.025583586332853014
10,2026-02-23,313602.02333333343,11469.06,0.02734330654241354
10,2026-02-24,285066.0399999991,11469.06,0.02485522265992149
10,2026-02-25,321372.0766666718,11469.06,0.02802078606848964
10,2026-02-26,317847.5366666727,11469.06,0.027713477535793927
10,2026-02-27,345561.9965217374,11469.06,0.030129931879485976
10,2026-02-28,384883.29666666687,11469.06,0.03355839943872182
10,2026-03-01,334844.8478260897,11469.06,0.029195491856009975
10,2026-03-02,345757.8508771993,11469.06,0.03014700863690654
10,2026-03-03,307217.7307949737,11469.06,0.026786653029539795
10,2026-03-04,313184.604452312,11469.06,0.027306911329464837
10,2026-03-05,334132.84924174845,11469.06,0.029133411913596096
10,2026-03-06,321215.7670240477,11469.06,0.02800715725822759
10,2026-03-07,240478.34348739684,11469.06,0.02096757218877544
10,2026-03-08,104413.9237800315,11469.06,0.009103965257835559
10,2026-03-09,298056.22038728,11469.06,0.025987850825375403
10,2026-03-10,290249.8297213614,11469.06,0.025307203007165487
10,2026-03-11,381428.7833590135,11469.06,0.0332571966106214
10,2026-03-12,246663.3263007328,11469.06,0.021506847666742768
